-103.886 -27.751 55 
-96.3856 -40.7414 55 
-96.3856 -40.7414 45 
-103.886 -27.751 45 

-103.886 -27.751 55 
-88.8856 -27.751 55 
-88.8856 -27.751 45 
-103.886 -27.751 45 

-103.886 -27.751 55 
-96.3856 -14.7607 55 
-96.3856 -14.7607 45 
-103.886 -27.751 45 

-103.886 -27.751 55 
-111.386 -14.7607 55 
-111.386 -14.7607 45 
-103.886 -27.751 45 

-103.886 -27.751 55 
-118.886 -27.751 55 
-118.886 -27.751 45 
-103.886 -27.751 45 

-103.886 -27.751 55 
-111.386 -40.7414 55 
-111.386 -40.7414 45 
-103.886 -27.751 45 

-103.886 -27.751 55 
-96.3856 -40.7414 55 
-96.3856 -40.7414 45 
-103.886 -27.751 45 

