-34.2492 -40.0298 55 
-26.7492 -53.0202 55 
-26.7492 -53.0202 45 
-34.2492 -40.0298 45 

-34.2492 -40.0298 55 
-19.2492 -40.0298 55 
-19.2492 -40.0298 45 
-34.2492 -40.0298 45 

-34.2492 -40.0298 55 
-26.7492 -27.0394 55 
-26.7492 -27.0394 45 
-34.2492 -40.0298 45 

-34.2492 -40.0298 55 
-41.7492 -27.0394 55 
-41.7492 -27.0394 45 
-34.2492 -40.0298 45 

-34.2492 -40.0298 55 
-49.2492 -40.0298 55 
-49.2492 -40.0298 45 
-34.2492 -40.0298 45 

-34.2492 -40.0298 55 
-41.7492 -53.0202 55 
-41.7492 -53.0202 45 
-34.2492 -40.0298 45 

-34.2492 -40.0298 55 
-26.7492 -53.0202 55 
-26.7492 -53.0202 45 
-34.2492 -40.0298 45 

